model,feature_strategy,variant,split,k,class_weight,thresholds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0,uncertain_rate_3star,domain_label,train_seconds,notes
logreg,tfidf_chi2,chi2_l2_w2,val,10000,w2,0.40|0.60,0.9662062491618614,0.9813609467455622,0.8347953216374269,0.8042253521126761,0.8192252510760402,0.8101589103291714,0.9794773364830947,0.9832518156217578,0.9813609467455622,0.9737830226632694,0.026216977336730563,0.8591785414920369,0.8422350041084634,0.8455700379475334,0.15776499589153656,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w5,val,10000,w5,0.40|0.60,0.9584283223816549,0.9767319672746378,0.7270147559591373,0.902112676056338,0.8051539912005028,0.860655737704918,0.9894312652068127,0.964354527938343,0.9767319672746378,0.9671449644629208,0.03285503553707925,0.7919637070641607,0.9236583522297808,0.8939283101682517,0.07634164777021919,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w10,val,10000,w10,0.40|0.60,0.9422690089848464,0.9672859911090846,0.6337960746768789,0.9323943661971831,0.7546309489883157,0.8521045179559789,0.9925146198830409,0.9433081369497555,0.9672859911090846,0.9629207456081534,0.03707925439184656,0.7087431693989071,0.9474068663257852,0.8876266082671777,0.052593133674214754,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_best,test,5000,balanced,0.40|0.60,0.9388829287917393,0.9653098894407338,0.6192262602579133,0.9299295774647888,0.7434201266713582,0.84512,0.9922153111919572,0.9398251074551652,0.9653098894407338,0.9550087166420813,0.04499128335791869,0.6974766867800329,0.9474664679582713,0.8840912251425392,0.05253353204172876,0.11280953836747172,,,Selector fit train-only; LR fit train+val
logreg,tfidf_full,l1_full,test,full,none,0.40|0.60,0.9636918331768808,0.9801120190983381,0.8720880982634477,0.725,0.7917708133051337,0.7503097441877414,0.9715658790548658,0.9888098414109975,0.9801120190983381,0.9810580662464798,0.018941933753520157,0.891686460807601,0.7630081300813009,0.7856843867727082,0.2369918699186992,,,,Embedded sparsity (non_zero_features=1383)
decision_tree,tfidf_chi2,chi2_dt_none,test,5000,none,0.40|0.60,0.937541906933083,0.9656101748103298,0.6848278471433976,0.6373239436619719,0.660222505927412,0.6462900806969935,0.9621114585249219,0.9691344301170891,0.9656101748103298,0.9991953868848062,0.000804613115193753,0.6870489935434865,0.638095238095238,0.6473198311028412,0.3619047619047619,,,,DT on Chi2 features
decision_tree,tfidf_chi2,chi2_dt_balanced,test,5000,balanced,0.40|0.60,0.917795360064369,0.954442421314704,0.5647962591850367,0.5954225352112676,0.5797051765512513,0.589034415493939,0.9571811880450175,0.9517192826441382,0.954442421314704,0.9994971168030039,0.0005028831969960956,0.565551839464883,0.5956322648820007,0.5893628886100655,0.4043677351179993,,,,DT on Chi2 features
random_forest,tfidf_chi2,chi2_rf_none,test,5000,none,0.40|0.60,0.950382191229717,0.9731407208449784,0.896732788798133,0.5411971830985915,0.6750109793588055,0.5878078629340676,0.9536529842782955,0.9934415295686972,0.9731407208449784,0.961244468284833,0.03875553171516699,0.9305317324185248,0.5474268415741675,0.5965471739608533,0.4525731584258325,,,,RF on Chi2 features
random_forest,tfidf_chi2,chi2_rf_balanced,test,5000,balanced,0.40|0.60,0.9407603593938582,0.968076457516576,0.8662116040955632,0.446830985915493,0.5895470383275261,0.49473684210526314,0.9446109367838381,0.9927375129687268,0.968076457516576,0.9555451253855438,0.044454874614456186,0.8947976878612717,0.41523605150214593,0.46508833072947964,0.5847639484978541,,,,RF on Chi2 features
random_forest,tfidf_chi2,chi2_rf_balanced_subsample,test,5000,balanced_subsample,0.40|0.60,0.9409279871261902,0.9681593118652644,0.86468200270636,0.45,0.5919407132931913,0.49774108116529053,0.9449029982363316,0.9925892989476804,0.9681593118652644,0.9567855706048009,0.04321442939519915,0.9067415730337078,0.4267583289264939,0.4772888573456352,0.5732416710735061,,,,RF on Chi2 features
logreg,tfidf_chi2,chi2_l2_best_thresh_0.40|0.60,threshold_sweep,5000,balanced,0.40|0.60,0.9388829287917393,0.9653098894407338,0.6192262602579133,0.9299295774647888,0.7434201266713582,0.84512,0.9922153111919572,0.9398251074551652,0.9653098894407338,0.9550087166420813,0.04499128335791869,0.6974766867800329,0.9474664679582713,0.8840912251425392,0.05253353204172876,,,,Threshold sweep on test strong-labels
logreg,tfidf_chi2,chi2_l2_best_thresh_0.45|0.60,threshold_sweep,5000,balanced,0.45|0.60,0.9388829287917393,0.9653098894407338,0.6192262602579133,0.9299295774647888,0.7434201266713582,0.84512,0.9922153111919572,0.9398251074551652,0.9653098894407338,0.9649658039426042,0.03503419605739577,0.6576211006847578,0.9484272128749086,0.8713623227367431,0.05157278712509144,,,,Threshold sweep on test strong-labels
logreg,tfidf_chi2,chi2_l2_best_thresh_0.50|0.65,threshold_sweep,5000,balanced,0.50|0.65,0.9388829287917393,0.9653098894407338,0.6192262602579133,0.9299295774647888,0.7434201266713582,0.84512,0.9922153111919572,0.9398251074551652,0.9653098894407338,0.9600710741585088,0.039928925841491214,0.6192262602579133,0.9561911658218682,0.8623391889244433,0.04380883417813179,,,,Threshold sweep on test strong-labels
logreg,tfidf_chi2,chi2_l2_best_thresh_0.55|0.70,threshold_sweep,5000,balanced,0.55|0.70,0.9388829287917393,0.9653098894407338,0.6192262602579133,0.9299295774647888,0.7434201266713582,0.84512,0.9922153111919572,0.9398251074551652,0.9653098894407338,0.9510191766125787,0.04898082338742127,0.5811427330002172,0.9618842143113988,0.8504482736694856,0.038115785688601224,,,,Threshold sweep on test strong-labels
vader,rule,compound_default,test,n/a,n/a,compound>=0,0.9145433820571275,0.9537142960905014,0.5833810888252149,0.35845070422535213,0.4440567066521265,0.3884013735215567,0.9351208916426308,0.9730621016748184,0.9537142960905014,1.0,0.0,,,,,,,,VADER default polarity
vader,rule,compound_band,test,n/a,n/a,band_-0.05|0.05,,,0.5908018867924528,0.41490683229813663,,0.4411764705882353,,,,0.8930535067721603,0.10694649322783967,0.5908018867924528,0.41490683229813663,0.4411764705882353,0.5850931677018634,,,,VADER uncertain band
