model,split,label,precision,recall,f1,support_true,predicted_positive,frequency_true
ovr_blend_lr_svm,test,product_quality,0.2150101419878296,0.424,0.2853297442799462,250,493,0.06578947368421052
ovr_blend_lr_svm,test,customer_service,0.1568627450980392,0.27586206896551724,0.2,29,51,0.007631578947368421
ovr_blend_lr_svm,test,refund_return,0.275,0.55,0.36666666666666664,20,40,0.005263157894736842
ovr_blend_lr_svm,test,usability,0.36716417910447763,0.6243654822335025,0.462406015037594,197,335,0.0518421052631579
ovr_blend_lr_svm,test,value_price,0.24479166666666666,0.4351851851851852,0.31333333333333335,108,192,0.028421052631578948
ovr_blend_lr_svm,test,fraud_scam,0.8333333333333334,0.14705882352941177,0.25,34,6,0.008947368421052631
ovr_blend_lr_svm,test,other,0.8509060955518946,0.9754485363550519,0.9089309282886053,3177,3642,0.8360526315789474
dummy_labelset_majority,val,delivery_shipping,0.0,0.0,0.0,98,0,0.05157894736842105
dummy_labelset_majority,val,redemption_activation,0.0,0.0,0.0,31,0,0.01631578947368421
dummy_labelset_majority,val,product_quality,0.0,0.0,0.0,139,0,0.0731578947368421
dummy_labelset_majority,val,customer_service,0.0,0.0,0.0,26,0,0.01368421052631579
dummy_labelset_majority,val,refund_return,0.0,0.0,0.0,9,0,0.004736842105263158
dummy_labelset_majority,val,usability,0.0,0.0,0.0,86,0,0.045263157894736845
dummy_labelset_majority,val,value_price,0.0,0.0,0.0,57,0,0.03
dummy_labelset_majority,val,fraud_scam,0.0,0.0,0.0,18,0,0.009473684210526316
dummy_labelset_majority,val,other,0.8378947368421052,1.0,0.9117983963344788,1592,1900,0.8378947368421052
dummy_labelset_majority,test,delivery_shipping,0.0,0.0,0.0,184,0,0.04842105263157895
dummy_labelset_majority,test,redemption_activation,0.0,0.0,0.0,52,0,0.01368421052631579
dummy_labelset_majority,test,product_quality,0.0,0.0,0.0,250,0,0.06578947368421052
dummy_labelset_majority,test,customer_service,0.0,0.0,0.0,29,0,0.007631578947368421
dummy_labelset_majority,test,refund_return,0.0,0.0,0.0,20,0,0.005263157894736842
dummy_labelset_majority,test,usability,0.0,0.0,0.0,197,0,0.0518421052631579
dummy_labelset_majority,test,value_price,0.0,0.0,0.0,108,0,0.028421052631578948
dummy_labelset_majority,test,fraud_scam,0.0,0.0,0.0,34,0,0.008947368421052631
dummy_labelset_majority,test,other,0.8360526315789474,1.0,0.9107066074243945,3177,3800,0.8360526315789474
dummy_label_prior,val,delivery_shipping,0.0,0.0,0.0,98,0,0.05157894736842105
dummy_label_prior,val,redemption_activation,0.0,0.0,0.0,31,0,0.01631578947368421
dummy_label_prior,val,product_quality,0.0,0.0,0.0,139,0,0.0731578947368421
dummy_label_prior,val,customer_service,0.0,0.0,0.0,26,0,0.01368421052631579
dummy_label_prior,val,refund_return,0.0,0.0,0.0,9,0,0.004736842105263158
dummy_label_prior,val,usability,0.0,0.0,0.0,86,0,0.045263157894736845
dummy_label_prior,val,value_price,0.0,0.0,0.0,57,0,0.03
dummy_label_prior,val,fraud_scam,0.0,0.0,0.0,18,0,0.009473684210526316
dummy_label_prior,val,other,0.8378947368421052,1.0,0.9117983963344788,1592,1900,0.8378947368421052
dummy_label_prior,test,delivery_shipping,0.0,0.0,0.0,184,0,0.04842105263157895
dummy_label_prior,test,redemption_activation,0.0,0.0,0.0,52,0,0.01368421052631579
dummy_label_prior,test,product_quality,0.0,0.0,0.0,250,0,0.06578947368421052
dummy_label_prior,test,customer_service,0.0,0.0,0.0,29,0,0.007631578947368421
dummy_label_prior,test,refund_return,0.0,0.0,0.0,20,0,0.005263157894736842
dummy_label_prior,test,usability,0.0,0.0,0.0,197,0,0.0518421052631579
dummy_label_prior,test,value_price,0.0,0.0,0.0,108,0,0.028421052631578948
dummy_label_prior,test,fraud_scam,0.0,0.0,0.0,34,0,0.008947368421052631
dummy_label_prior,test,other,0.8360526315789474,1.0,0.9107066074243945,3177,3800,0.8360526315789474
